First Allele, Second Allele
M0088,LH185
M0143,LH185
M0003,LH185
M0035,LH185
M0052,LH185
M0008,LH185
M0172,LH185
M0001,LH185
M0014,LH185
M0352,LH185
M0325,LH185
M0012,LH185
M0296,LH185
M0042,LH185
M0027,LH185
M0114,LH185
M0039,LH185
M0083,LH185
M0099,LH185
M0378,LH185
M0151,LH185
M0041,LH185
M0101,LH185
M0317,LH185
M0163,LH185
M0076,LH185
M0311,LH185
M0346,LH185
M0028,LH185
M0266,LH185
M0106,LH185
M0272,LH185
M0077,LH185
M0287,LH185
M0355,LH185
M0369,LH185
M0323,LH185
M0269,LH185
M0085,LH185
M0118,LH185
M0186,LH185
M0030,LH185
M0075,LH185
M0297,LH185
M0051,LH185
M0045,LH185
M0159,LH185
M0058,LH185
M0022,LH185
M0154,LH185
Z022E0048,LH185
Z022E0059,LH185
Z022E0149,LH185
Z022E0095,LH185
Z022E0051,LH185
Z022E0009,LH185
Z022E0130,LH185
Z022E0023,LH185
Z022E0097,LH185
Z022E0166,LH185
Z022E0053,LH185
Z022E0073,LH185
Z022E0105,LH185
Z022E0160,LH185
Z022E0077,LH185
Z022E0025,LH185
Z022E0008,LH185
Z022E0027,LH185
Z022E0003,LH185
Z022E0005,LH185
Z022E0121,LH185
Z022E0017,LH185
Z022E0110,LH185
Z022E0108,LH185
Z022E0006,LH185
Z022E0114,LH185
Z022E0123,LH185
Z022E0042,LH185
Z022E0046,LH185
Z022E0142,LH185
PHB47,LH195
ARGNETINE FLINTY COMPOSITE-C(1)-37-B-B-B2-1-B25,LH195
W10004_0097,LH195
W10004_0227,LH195
TX303,LH195
MO44_LH145_0138,LH195
PHN11_OH43_0190,LH195
PHN11_PHW65_0015,LH195
MOG_NC230-009-1-1-1-1-B,LH195
MOG_PHG83-129-1-1-1-1-B,LH195
PHN11_PHW65_0328,LH195
PHN11_PHG47_0048,LH195
MOG_LH145_0057,PB80
PHN11_PHW65_0065,LH195
MOG_MO45-055-1-1-1-1-B,LH195
PHN11_PHG47_0287,LH195
MO44_LH145_0143,LH195
PHN11_PHW65_0294,LH195
MOG_LH145_0131,LH195
MOG_PHG83-129-1-1-1-1-B,LH195
PHN11_PHW65_0101,LH195
PHW65_MOG_0176,LH195
MOG_PHG83-014-1-1-1-1-B,LH195
MOG_MO45-085-1-1-1-1-B,LH195
MOG_MO45-071-1-1-1-1-B,LH195
MOG_LH145_0131,LH195
B73_NC230-127-1-1-1-1,LH195
MOG_MO45-074-1-1-1-1-B,LH195
PHW65_MOG_0271,PB80
MOG_MO45-054-1-1-1-1-B,LH195
MOG_MO45-030-1-1-1-1-B,LH195
PHW65_MOG_0029,LH195
B73_NC230-128-1-1-1-1,LH195
PHN11_OH43_0142,LH195
MOG_LH123HT-059-1-1-1-1-B,LH195
PHN11_PHG47_0251,LH195
B73_NC230-129-1-1-1-1,LH195
MOG_OH43_0300,LH195
PHN11_PHW65_0237,LH195
PHN11_PHW65_0359,LH195
PHN11_PHW65_0323,LH195
PHN11_PHG47_0172,LH195
PHN11_LH145_0029,PB80
PHN11_PHW65_0275,LH195
B73_NC230-126-1-1-1-1,LH195
PHN11_OH43_0215,LH195
B73_NC230-041-1-1-1-1,LH195
PHN11_PHG47_0388,LH195
MOG_PHG83-090-1-1-1-1-B,LH195
PHN11_PHW65_0312,LH195
M0007,LH195
M0033,LH195
M0099,LH195
M0066,LH195
M0325,LH195
M0317,LH195
M0039,LH195
M0001,LH195
M0058,LH195
M0057,LH195
M0321,LH195
M0015,LH195
M0143,LH195
M0326,LH195
M0164,LH195
M0382,LH195
M0010,LH195
M0154,LH195
Z013E0044,LH195
Z013E0022,LH195
Z013E0074,LH195
Z013E0088,LH195
Z013E0062,LH195
Z013E0012,LH195
Z013E0046,LH195
Z013E0019,LH195
Z013E0026,LH195
Z013E0037,LH195
Z013E0027,LH195
Z013E0021,LH195
Z013E0047,LH195
LH82,LH198
LH132,LH51
PHG39,PHN82
B73,MO17
LH82,CGR01
PHW52,PHM49
B73,PHN82
LH74,PHN82
B37,OH43
B73,PHG35
PHG39,PHM49
PHW52,PHG35
PHG39,PHG35
LH82,CG60
PHW52,TX205
LH74,PHG35
PHG39,TX205
LH195,REDEAR-B
B73,TX205
B37,MO17
LH74,TX205
LH74,PHM49
PHW52,PHN82
LH198,CGR01
LH162,CG60
B73,PHM49
Z022E0121,LH195
Z022E0110,LH195
Z022E0108,LH195
Z022E0095,LH195
Z022E0073,LH195
Z022E0048,LH195
Z022E0077,LH195
Z022E0017,LH195
Z022E0155,LH195
Z022E0097,LH195
Z013E0093,LH185
Z013E0059,LH185
Z013E0067,LH185
Z013E0090,LH185
Z013E0046,LH185
Z013E0022,LH185
Z013E0079,LH185
Z013E0032,LH185
Z013E0056,LH185
Z013E0073,LH185
Z013E0080,LH185
Z013E0052,LH185
Z013E0036,LH185
Z013E0072,LH185
Z013E0020,LH185
Z013E0002,LH185
Z013E0082,LH185
Z013E0045,LH185
Z013E0039,LH185
Z013E0037,LH185
Z013E0034,LH185
Z013E0078,LH185
Z013E0063,LH185
Z013E0087,LH185
Z013E0055,LH185
Z013E0007,LH185
Z013E0026,LH185
Z013E0028,LH185
Z013E0014,LH185
Z013E0006,LH185
CG120,LH185
CGR01,LH185
TX772W,LH185
CGR03,LH185
W10005_0220,LH185
TX740,LH185
CG65,LH185
PB80,LH185
W10005_0147,LH185
W10005_0029,LH185
W10005_0107,LH185
TX772W,LH185
TX204,LH185
W10005_0037,LH185
W10004_0032,LH185
LH195,LH185
TX130 RP,LH185
TX772,LH185
TX714,LH185
W10004_0076,LH185
Z022E0155,LH195
Z022E0017,LH195
Z022E0073,LH195
Z022E0097,LH195
Z022E0048,LH195
Z022E0121,LH195
Z022E0110,LH195
Z022E0108,LH195
Z022E0095,LH195
Z022E0077,LH195
Z013E0087,LH185
Z013E0007,LH185
Z013E0093,LH185
Z013E0080,LH185
Z013E0036,LH185
Z013E0014,LH185
Z013E0073,LH185
Z013E0072,LH185
Z013E0002,LH185
Z013E0067,LH185
Z013E0028,LH185
Z013E0046,LH185
Z013E0079,LH185
Z013E0037,LH185
Z013E0078,LH185
Z013E0039,LH185
Z013E0022,LH185
Z013E0006,LH185
Z013E0032,LH185
Z013E0045,LH185
Z013E0026,LH185
Z013E0059,LH185
Z013E0082,LH185
Z013E0052,LH185
Z013E0020,LH185
Z013E0034,LH185
Z013E0090,LH185
Z013E0056,LH185
Z013E0055,LH185
Z013E0063,LH185
M0186,LH185
M0287,LH185
M0352,LH185
M0317,LH185
M0001,LH185
M0269,LH185
M0051,LH185
M0041,LH185
M0008,LH185
M0114,LH185
M0028,LH185
M0077,LH185
M0052,LH185
M0030,LH185
M0297,LH185
M0101,LH185
M0088,LH185
M0346,LH185
M0378,LH185
M0045,LH185
M0027,LH185
M0042,LH185
M0272,LH185
M0296,LH185
M0014,LH185
M0143,LH185
M0012,LH185
M0003,LH185
M0163,LH185
M0323,LH185
M0311,LH185
M0076,LH185
M0085,LH185
M0039,LH185
M0154,LH185
M0022,LH185
M0058,LH185
M0106,LH185
M0118,LH185
M0369,LH185
M0159,LH185
M0099,LH185
M0035,LH185
M0083,LH185
M0075,LH185
M0172,LH185
M0151,LH185
M0325,LH185
M0266,LH185
M0355,LH185
B73_NC230-129-1-1-1-1,LH195
MOG_MO45-030-1-1-1-1-B,LH195
MOG_PHG83-014-1-1-1-1-B,LH195
PHN11_PHW65_0237,LH195
PHW65_MOG_0029,LH195
B73_NC230-128-1-1-1-1,LH195
PHN11_PHG47_0048,LH195
PHN11_PHG47_0388,LH195
MOG_OH43_0300,LH195
MOG_PHG83-090-1-1-1-1-B,LH195
PHN11_OH43_0142,LH195
MOG_LH145_0131,LH195
PHW65_MOG_0271,PB80
MO44_LH145_0143,LH195
MO44_LH145_0138,LH195
MOG_LH123HT-059-1-1-1-1-B,LH195
PHN11_PHW65_0294,LH195
PHN11_PHW65_0065,LH195
PHN11_PHW65_0328,LH195
MOG_MO45-085-1-1-1-1-B,LH195
MOG_PHG83-129-1-1-1-1-B,LH195
B73_NC230-126-1-1-1-1,LH195
PHW65_MOG_0176,LH195
PHN11_PHW65_0015,LH195
PHN11_PHG47_0287,LH195
PHN11_PHW65_0359,LH195
PHN11_PHW65_0275,LH195
PHN11_OH43_0215,LH195
MOG_LH145_0131,LH195
B73_NC230-041-1-1-1-1,LH195
MOG_NC230-009-1-1-1-1-B,LH195
MOG_PHG83-129-1-1-1-1-B,LH195
PHN11_PHG47_0251,LH195
B73_NC230-127-1-1-1-1,LH195
MOG_MO45-054-1-1-1-1-B,LH195
MOG_MO45-071-1-1-1-1-B,LH195
PHN11_OH43_0190,LH195
PHN11_PHW65_0323,LH195
PHN11_PHW65_0101,LH195
PHN11_LH145_0029,PB80
