First Allele, Second Allele, Yield Rate [bu/Ad],Grain yield [bu/A]
M0088,LH185,0.620117,91.15719906
M0143,LH185,1.228832116,180.638321
M0003,LH185,0.708888936,104.2066736
M0035,LH185,1.123553518,165.1623672
M0052,LH185,1.182290527,173.7967075
M0008,LH185,1.247459472,183.3765424
M0172,LH185,1.214561484,178.5405382
M0001,LH185,1.270503659,186.7640378
M0014,LH185,0.146840491,21.58555212
M0352,LH185,0.85562059,125.7762267
M0325,LH185,0.918794733,135.0628258
M0012,LH185,0.89562709,131.6571823
M0296,LH185,1.313606325,193.1001298
M0042,LH185,1.225575131,180.1595442
M0027,LH185,0.756481532,111.2027852
M0114,LH185,1.485636064,218.3885014
M0039,LH185,1.053684281,154.8915893
M0083,LH185,1.544431552,227.0314381
M0099,LH185,1.219005929,179.1938716
M0378,LH185,1.425164163,209.4991319
M0151,LH185,1.307533388,192.207408
M0041,LH185,1.668742801,245.3051918
M0101,LH185,1.145482533,168.3859323
M0317,LH185,1.224232537,179.962183
M0163,LH185,1.118284675,164.3878472
M0076,LH185,1.343689173,197.5223085
M0311,LH185,1.26291269,185.6481654
M0346,LH185,1.294909931,190.3517598
M0028,LH185,1.288835369,189.4587992
M0266,LH185,0.697111807,102.4754357
M0106,LH185,1.34766172,198.1062729
M0272,LH185,1.095825284,161.0863168
M0077,LH185,1.515188535,222.7327146
M0287,LH185,1.473811827,216.6503385
M0355,LH185,0.553972584,81.43396985
M0369,LH185,1.517814429,223.118721
M0323,LH185,1.178070254,173.1763273
M0269,LH185,1.012378235,148.8196006
M0085,LH185,1.291068962,189.7871374
M0118,LH185,1.060336328,155.8694402
M0186,LH185,1.339342195,196.8833026
M0030,LH185,1.176605016,172.9609374
M0075,LH185,1.264473769,185.877644
M0297,LH185,1.528223786,224.6488965
M0051,LH185,1.198416259,176.1671901
M0045,LH185,2.344429169,344.6310878
M0159,LH185,1.193742769,175.4801871
M0058,LH185,1.193320418,175.4181014
M0022,LH185,1.172612164,172.3739881
M0154,LH185,1.109262582,163.0615996
Z022E0048,LH185,1.26912614,186.5615426
Z022E0059,LH185,1.470318486,216.1368175
Z022E0149,LH185,1.420422447,208.8020997
Z022E0095,LH185,1.606806475,236.2005518
Z022E0051,LH185,1.419722317,208.6991806
Z022E0009,LH185,0.700648195,102.9952846
Z022E0130,LH185,0.54543376,80.17876265
Z022E0023,LH185,1.055767614,155.1978393
Z022E0097,LH185,1.041221642,153.0595813
Z022E0166,LH185,1.398026409,205.5098821
Z022E0053,LH185,1.104957838,162.4288022
Z022E0073,LH185,1.380921145,202.9954083
Z022E0105,LH185,1.47280874,216.5028848
Z022E0160,LH185,1.265964997,186.0968545
Z022E0077,LH185,1.148143351,168.7770726
Z022E0025,LH185,1.092859884,160.650403
Z022E0008,LH185,1.129682499,166.0633273
Z022E0027,LH185,0.941985118,138.4718123
Z022E0003,LH185,1.5436502,226.9165794
Z022E0005,LH185,1.047876126,154.0377905
Z022E0121,LH185,1.328216463,195.24782
Z022E0017,LH185,2.858981672,420.2703058
Z022E0110,LH185,1.254564736,184.4210162
Z022E0108,LH185,1.510833434,222.0925148
Z022E0006,LH185,1.294325947,190.2659142
Z022E0114,LH185,1.132066352,166.4137538
Z022E0123,LH185,1.43192992,210.4936982
Z022E0042,LH185,1.728213241,254.0473464
Z022E0046,LH185,1.008750067,148.2862599
Z022E0142,LH185,1.644704463,241.7715561
PHB47,LH195,1.116205403,164.0821942
ARGNETINE FLINTY COMPOSITE-C(1)-37-B-B-B2-1-B25,LH195,1.38282579,203.2753912
W10004_0097,LH195,0.977407473,143.6788985
W10004_0227,LH195,1.30803615,192.281314
TX303,LH195,1.012811959,148.8833579
MO44_LH145_0138,LH195,1.33959723,196.9207928
PHN11_OH43_0190,LH195,1.110409431,163.2301863
PHN11_PHW65_0015,LH195,1.298885727,190.9362018
MOG_NC230-009-1-1-1-1-B,LH195,1.298002036,190.8062993
MOG_PHG83-129-1-1-1-1-B,LH195,1.069064399,157.1524666
PHN11_PHW65_0328,LH195,1.024691427,150.6296397
PHN11_PHG47_0048,LH195,1.164164307,171.1321532
MOG_LH145_0057,PB80,1.421923422,209.022743
PHN11_PHW65_0065,LH195,1.107415603,162.7900937
MOG_MO45-055-1-1-1-1-B,LH195,0.851808861,125.2159026
PHN11_PHG47_0287,LH195,1.005950359,147.8747028
MO44_LH145_0143,LH195,1.758552749,258.5072541
PHN11_PHW65_0294,LH195,1.163531591,171.0391439
MOG_LH145_0131,LH195,1.303650997,191.6366965
MOG_PHG83-129-1-1-1-1-B,LH195,0.668681006,98.29610791
PHN11_PHW65_0101,LH195,1.677972821,246.6620047
PHW65_MOG_0176,LH195,0.923040185,135.6869072
MOG_PHG83-014-1-1-1-1-B,LH195,1.677612197,246.608993
MOG_MO45-085-1-1-1-1-B,LH195,1.274645959,187.372956
MOG_MO45-071-1-1-1-1-B,LH195,1.385375336,203.6501744
MOG_LH145_0131,LH195,1.257719382,184.8847492
B73_NC230-127-1-1-1-1,LH195,1.29078956,189.7460653
MOG_MO45-074-1-1-1-1-B,LH195,0.941562766,138.4097266
PHW65_MOG_0271,PB80,1.169327563,171.8911518
MOG_MO45-054-1-1-1-1-B,LH195,1.55281768,228.2641989
MOG_MO45-030-1-1-1-1-B,LH195,1.257271039,184.8188427
PHW65_MOG_0029,LH195,1.227797353,180.4862109
B73_NC230-128-1-1-1-1,LH195,1.198629872,176.1985912
PHN11_OH43_0142,LH195,1.389813283,204.3025526
MOG_LH123HT-059-1-1-1-1-B,LH195,0.767680363,112.8490134
PHN11_PHG47_0251,LH195,1.338070265,196.6963289
B73_NC230-129-1-1-1-1,LH195,1.189188676,174.8107353
MOG_OH43_0300,LH195,1.435407828,211.0049507
PHN11_PHW65_0237,LH195,1.253289557,184.2335649
PHN11_PHW65_0359,LH195,1.124480257,165.2985978
PHN11_PHW65_0323,LH195,1.622558588,238.5161124
PHN11_PHG47_0172,LH195,0.913708638,134.3151698
PHN11_LH145_0029,PB80,1.427060686,209.7779209
PHN11_PHW65_0275,LH195,1.45020315,213.1798631
B73_NC230-126-1-1-1-1,LH195,0.928427612,136.478859
PHN11_OH43_0215,LH195,1.556187563,228.7595718
B73_NC230-041-1-1-1-1,LH195,0.711827533,104.6386473
PHN11_PHG47_0388,LH195,1.417534207,208.3775285
MOG_PHG83-090-1-1-1-1-B,LH195,1.49244162,219.3889181
PHN11_PHW65_0312,LH195,1.482090742,217.8673391
M0007,LH195,1.21874602,179.155665
M0033,LH195,1.691839782,248.7004479
M0099,LH195,0.787500052,115.7625077
M0066,LH195,1.287875329,189.3176734
